Title:,"Time Series, Area-Averaged of Optical Depth from LPRM AMSRE X-band Descending daily 25 km [AMSR-E ()"
User Start Date:,2005-01-01T00:00:00Z
User End Date:,2011-10-03T23:59:59Z
User Bounding Box:,"-91.25,37.75,-91,38"
Data Bounding Box:,"-91.125,37.875,-91.125,37.875"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2005-01-01T00:00:00Z&endtime=2011-10-03T23:59:59Z&bbox=-91.25,37.75,-91,38&data=LPRM_AMSRE_D_SOILM3_002_opt_depth_x&portal=GIOVANNI&format=json"
Fill Value (mean_LPRM_AMSRE_D_SOILM3_002_opt_depth_x):, -32767

time, mean_LPRM_AMSRE_D_SOILM3_002_opt_depth_x
2005-01-01,0.889999986
2005-01-02,-32767
2005-01-03,0.859999955
2005-01-04,-32767
2005-01-05,0.859999955
2005-01-06,0.75999999
2005-01-07,0.810000002
2005-01-08,0.879999995
2005-01-09,-32767
2005-01-10,0.849999964
2005-01-11,-32767
2005-01-12,0.829999983
2005-01-13,0.779999971
2005-01-14,-32767
2005-01-15,-32767
2005-01-16,-32767
2005-01-17,-32767
2005-01-18,-32767
2005-01-19,0.849999964
2005-01-20,-32767
2005-01-21,0.899999976
2005-01-22,0.859999955
2005-01-23,0.839999974
2005-01-24,0.859999955
2005-01-25,-32767
2005-01-26,0.819999993
2005-01-27,-32767
2005-01-28,0.879999995
2005-01-29,0.719999969
2005-01-30,0.819999993
2005-01-31,0.849999964
2005-02-01,0.879999995
2005-02-02,0.879999995
2005-02-03,-32767
2005-02-04,0.870000005
2005-02-05,-32767
2005-02-06,0.859999955
2005-02-07,0.819999993
2005-02-08,0.859999955
2005-02-09,0.779999971
2005-02-10,-32767
2005-02-11,0.889999986
2005-02-12,-32767
2005-02-13,0.899999976
2005-02-14,-32767
2005-02-15,0.779999971
2005-02-16,0.75
2005-02-17,0.789999962
2005-02-18,0.839999974
2005-02-19,-32767
2005-02-20,0.810000002
2005-02-21,-32767
2005-02-22,0.879999995
2005-02-23,0.839999974
2005-02-24,0.810000002
2005-02-25,0.799999952
2005-02-26,-32767
2005-02-27,0.819999993
2005-02-28,-32767
2005-03-01,0.819999993
2005-03-02,0.799999952
2005-03-03,0.849999964
2005-03-04,0.819999993
2005-03-05,0.870000005
2005-03-06,0.839999974
2005-03-07,-32767
2005-03-08,0.839999974
2005-03-09,-32767
2005-03-10,0.819999993
2005-03-11,0.779999971
2005-03-12,0.819999993
2005-03-13,0.789999962
2005-03-14,-32767
2005-03-15,0.889999986
2005-03-16,-32767
2005-03-17,0.870000005
2005-03-18,-32767
2005-03-19,0.870000005
2005-03-20,0.849999964
2005-03-21,0.849999964
2005-03-22,0.839999974
2005-03-23,-32767
2005-03-24,0.889999986
2005-03-25,-32767
2005-03-26,0.870000005
2005-03-27,0.839999974
2005-03-28,0.859999955
2005-03-29,0.819999993
2005-03-30,-32767
2005-03-31,0.799999952
2005-04-01,-32767
2005-04-02,0.849999964
2005-04-03,-32767
2005-04-04,0.839999974
2005-04-05,0.819999993
2005-04-06,0.870000005
2005-04-07,0.849999964
2005-04-08,-32767
2005-04-09,0.979999959
2005-04-10,-32767
2005-04-11,0.899999976
2005-04-12,0.829999983
2005-04-13,0.870000005
2005-04-14,0.870000005
2005-04-15,-32767
2005-04-16,0.939999998
2005-04-17,-32767
2005-04-18,0.939999998
2005-04-19,-32767
2005-04-20,0.969999969
2005-04-21,0.870000005
2005-04-22,0.899999976
2005-04-23,0.939999998
2005-04-24,-32767
2005-04-25,0.959999979
2005-04-26,-32767
2005-04-27,1
2005-04-28,0.939999998
2005-04-29,0.959999979
2005-04-30,0.919999957
2005-05-01,-32767
2005-05-02,1.02999997
2005-05-03,-32767
2005-05-04,1.02999997
2005-05-05,0.949999988
2005-05-06,1.05999994
2005-05-07,0.979999959
2005-05-08,0.949999988
2005-05-09,0.939999998
2005-05-10,-32767
2005-05-11,0.889999986
2005-05-12,-32767
2005-05-13,0.930000007
2005-05-14,0.829999983
2005-05-15,1.00999999
2005-05-16,1.03999996
2005-05-17,-32767
2005-05-18,1.00999999
2005-05-19,-32767
2005-05-20,0.979999959
2005-05-21,0.979999959
2005-05-22,0.849999964
2005-05-23,0.930000007
2005-05-24,0.979999959
2005-05-25,1.02999997
2005-05-26,-32767
2005-05-27,1.11000001
2005-05-28,-32767
2005-05-29,1.01999998
2005-05-30,0.930000007
2005-05-31,1.03999996
2005-06-01,0.919999957
2005-06-02,-32767
2005-06-03,1.04999995
2005-06-04,-32767
2005-06-05,0.859999955
2005-06-06,-32767
2005-06-07,0.909999967
2005-06-08,0.949999988
2005-06-09,1.01999998
2005-06-10,0.949999988
2005-06-11,-32767
2005-06-12,1.00999999
2005-06-13,-32767
2005-06-14,0.979999959
2005-06-15,0.930000007
2005-06-16,0.969999969
2005-06-17,0.919999957
2005-06-18,-32767
2005-06-19,0.949999988
2005-06-20,-32767
2005-06-21,0.969999969
2005-06-22,-32767
2005-06-23,0.939999998
2005-06-24,0.849999964
2005-06-25,0.889999986
2005-06-26,0.930000007
2005-06-27,-32767
2005-06-28,1.00999999
2005-06-29,-32767
2005-06-30,0.889999986
2005-07-01,0.909999967
2005-07-02,0.959999979
2005-07-03,0.969999969
2005-07-04,-32767
2005-07-05,1.00999999
2005-07-06,-32767
2005-07-07,0.889999986
2005-07-08,-32767
2005-07-09,0.949999988
2005-07-10,0.899999976
2005-07-11,0.870000005
2005-07-12,1.05999994
2005-07-13,-32767
2005-07-14,0.979999959
2005-07-15,-32767
2005-07-16,1.06999993
2005-07-17,0.909999967
2005-07-18,0.930000007
2005-07-19,0.98999995
2005-07-20,-32767
2005-07-21,0.959999979
2005-07-22,-32767
2005-07-23,0.949999988
2005-07-24,0.889999986
2005-07-25,0.889999986
2005-07-26,0.819999993
2005-07-27,0.870000005
2005-07-28,0.930000007
2005-07-29,-32767
2005-07-30,0.969999969
2005-07-31,-32767
2005-08-01,0.919999957
2005-08-02,0.930000007
2005-08-03,0.969999969
2005-08-04,0.870000005
2005-08-05,-32767
2005-08-06,0.889999986
2005-08-07,-32767
2005-08-08,1.01999998
2005-08-09,0.870000005
2005-08-10,0.919999957
2005-08-11,0.930000007
2005-08-12,0.879999995
2005-08-13,0.919999957
2005-08-14,-32767
2005-08-15,1
2005-08-16,-32767
2005-08-17,0.98999995
2005-08-18,0.949999988
2005-08-19,0.939999998
2005-08-20,0.889999986
2005-08-21,-32767
2005-08-22,1
2005-08-23,-32767
2005-08-24,0.979999959
2005-08-25,-32767
2005-08-26,0.979999959
2005-08-27,0.949999988
2005-08-28,0.969999969
2005-08-29,0.969999969
2005-08-30,-32767
2005-08-31,0.939999998
2005-09-01,-32767
2005-09-02,1.01999998
2005-09-03,0.959999979
2005-09-04,0.979999959
2005-09-05,1
2005-09-06,-32767
2005-09-07,0.98999995
2005-09-08,-32767
2005-09-09,0.969999969
2005-09-10,-32767
2005-09-11,0.939999998
2005-09-12,0.959999979
2005-09-13,0.879999995
2005-09-14,0.879999995
2005-09-15,-32767
2005-09-16,1.01999998
2005-09-17,-32767
2005-09-18,1.02999997
2005-09-19,0.939999998
2005-09-20,1.01999998
2005-09-21,0.979999959
2005-09-22,-32767
2005-09-23,0.959999979
2005-09-24,-32767
2005-09-25,0.819999993
2005-09-26,0.919999957
2005-09-27,1.02999997
2005-09-28,0.979999959
2005-09-29,1
2005-09-30,1.01999998
2005-10-01,-32767
2005-10-02,0.949999988
2005-10-03,-32767
2005-10-04,1.01999998
2005-10-05,0.959999979
2005-10-06,1.01999998
2005-10-07,1.01999998
2005-10-08,-32767
2005-10-09,1.07999992
2005-10-10,-32767
2005-10-11,1.06999993
2005-10-12,0.969999969
2005-10-13,1.03999996
2005-10-14,0.979999959
2005-10-15,1
2005-10-16,0.98999995
2005-10-17,-32767
2005-10-18,1.05999994
2005-10-19,-32767
2005-10-20,0.939999998
2005-10-21,0.959999979
2005-10-22,1.01999998
2005-10-23,0.949999988
2005-10-24,-32767
2005-10-25,1.00999999
2005-10-26,-32767
2005-10-27,1.02999997
2005-10-28,0.939999998
2005-10-29,1.04999995
2005-10-30,0.979999959
2005-10-31,0.969999969
2005-11-01,0.969999969
2005-11-02,-32767
2005-11-03,0.949999988
2005-11-04,-32767
2005-11-05,0.959999979
2005-11-06,0.859999955
2005-11-07,0.899999976
2005-11-08,0.870000005
2005-11-09,-32767
2005-11-10,0.870000005
2005-11-11,-32767
2005-11-12,0.849999964
2005-11-13,0.819999993
2005-11-14,0.939999998
2005-11-15,0.899999976
2005-11-16,0.870000005
2005-11-18,-32767
2005-11-19,0.870000005
2005-11-20,-32767
2005-11-21,-32767
2005-11-22,0.829999983
2005-11-23,0.879999995
