system:index,Fpar,FparExtra_QC,FparLai_QC,FparStdDev,Lai,LaiStdDev,.geo
2002_07_04_0,90.0,8.0,34.0,2.0,57.0,7.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_07_08_0,89.0,8.0,32.0,4.0,50.0,11.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_07_12_0,90.0,8.0,34.0,3.0,52.0,10.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_07_16_0,90.0,8.0,48.0,3.0,54.0,9.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_07_20_0,85.0,8.0,34.0,7.0,48.0,13.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_07_24_0,92.0,0.0,34.0,2.0,58.0,7.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_07_28_0,67.0,72.0,8.0,9.0,25.0,6.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_08_05_0,91.0,0.0,32.0,2.0,56.0,8.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_08_09_0,92.0,8.0,32.0,1.0,59.0,6.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_08_13_0,87.0,8.0,34.0,6.0,47.0,13.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_08_17_0,93.0,8.0,115.0,,56.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_08_21_0,89.0,72.0,32.0,4.0,51.0,11.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_08_25_0,92.0,8.0,48.0,1.0,59.0,6.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_08_29_0,88.0,8.0,32.0,5.0,49.0,12.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_09_02_0,87.0,0.0,34.0,6.0,47.0,13.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_09_06_0,90.0,8.0,32.0,4.0,48.0,13.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_09_10_0,70.0,8.0,0.0,5.0,25.0,4.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_09_14_0,29.0,32.0,105.0,,7.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_09_18_0,89.0,8.0,34.0,6.0,46.0,14.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_09_22_0,88.0,0.0,34.0,7.0,45.0,15.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_09_26_0,87.0,8.0,34.0,9.0,43.0,15.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_09_30_0,78.0,0.0,0.0,8.0,28.0,8.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_10_04_0,78.0,8.0,2.0,8.0,27.0,7.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_10_08_0,57.0,0.0,2.0,6.0,14.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_10_12_0,69.0,0.0,2.0,8.0,19.0,4.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_10_16_0,46.0,48.0,0.0,8.0,10.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_10_20_0,64.0,0.0,2.0,8.0,12.0,3.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_10_24_0,2.0,32.0,105.0,,0.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_10_28_0,0.0,32.0,105.0,,0.0,,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_11_01_0,47.0,0.0,0.0,5.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_11_05_0,44.0,0.0,2.0,7.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_11_09_0,43.0,0.0,2.0,9.0,7.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_11_13_0,35.0,32.0,2.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_11_17_0,44.0,0.0,0.0,7.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_11_21_0,39.0,0.0,2.0,8.0,6.0,2.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_11_25_0,45.0,8.0,10.0,5.0,7.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
2002_11_29_0,35.0,0.0,0.0,7.0,5.0,1.0,"{""type"":""Point"",""coordinates"":[-92.2,38.7441]}"
