Year,DOY,LAI_SE,LAI_S,LAI_SW,LAI_W,LAI_NW
2007,94,1.05,0.79,0.53,0.74,1.1
2007,103,0.82,NaN,0.48,0.73,0.9
2007,108,0.32,1.01,0.53,0.72,1.01
2007,117,1.07,0.74,0.84,1.04,1.37
2007,124,0.98,1.72,1.35,1.64,1.57
2007,130,2.15,2.1,2.58,2.97,2.69
2007,137,2.75,2.81,3.19,3.6,3.47
2007,143,3.26,2.99,3.15,3.66,3.59
2007,152,3.4,3.12,3.47,3.81,4.01
2007,157,3.54,3.22,NaN,3.85,3.83
2007,171,3.45,3.23,3.16,3.8,3.68
2007,191,3.64,3.26,3.45,3.85,3.78
2007,206,3.09,3.22,NaN,3.86,3.74
2007,220,3.47,2.88,3.24,4.2,3.85
2007,234,3.26,3,3.12,3.45,3.47
2007,248,2.91,3.39,2.81,2.98,3.15
2007,290,2.53,2.49,2.54,2.64,2.66
2007,297,2.71,2.07,2.11,2.08,2.56
2007,307,1.81,1.91,2.11,1.98,2.33
2007,314,1.99,1.71,1.73,1.72,2.13
2007,316,1.75,1.46,1.61,1.49,1.86
2007,318,1.69,1.57,1.41,1.42,1.6
2007,330,0.72,1.25,NaN,NaN,NaN
2008,92,0.65,1.02,0.69,0.77,0.88
2008,120,0.85,NaN,0.89,0.98,1.08
2008,127,1.52,1.78,1.68,2.07,2.08
2008,135,2.5,2.57,2.34,2.6,2.35
2008,141,3.36,2.9,3.16,3.21,2.81
2008,149,3.14,3.1,3,3.06,2.83
2008,156,3.41,3.11,3.21,3.24,NaN
2008,163,3.42,3.26,3.33,3.42,3.13
2008,169,3.72,3.33,3.45,3.68,3.23
2008,176,3.7,3.24,3.49,3.53,3.24
2008,190,3.74,3.26,3.33,3.52,3.26
2008,226,3.21,3.22,3.22,3.08,2.95
2008,239,3.29,3.16,3.31,3.43,2.98
2008,253,3.38,3.12,3.13,3.35,3
2008,267,3.5,2.92,3.13,3.2,2.98
2008,274,3.19,2.84,2.94,NaN,2.88
2008,283,3.24,2.66,2.88,2.69,2.61
2009,98,0.69,0.96,0.81,0.7,0.78
2009,105,0.74,1.04,0.82,0.74,0.77
2009,112,0.68,0.99,0.82,0.72,0.77
2009,119,1.23,1.12,1.11,1.02,1.28
2009,126,1.82,2.34,1.86,2.06,2.35
2009,134,3.14,2.9,2.96,3.4,2.79
2009,140,3.72,3.4,3.54,3.67,3.42
2009,155,3.81,3.52,3.7,3.84,3.55
2009,169,3.94,3.29,3.64,3.77,3.59
2009,181,3.98,3.6,3.69,3.87,3.56
2009,209,3.98,3.55,3.72,3.94,3.44
2009,240,3.19,3.96,3.72,4.07,3.58
2009,260,3.04,3.64,3.34,3.47,3.46
2009,275,3.18,2.81,2.95,2.99,3.07
2009,288,2.83,2.26,2.54,2.5,3.03
2009,296,1.92,1.35,1.74,1.53,1.92
2009,303,0.88,1.33,0.7,1.02,1.02
2009,309,0.8,1.31,0.87,0.85,0.93
2009,324,0.66,1.12,0.84,0.83,0.92
2010,98,0.43,1.74,0.76,0.75,0.87
2010,105,1.27,1.61,1.47,1.47,1.6
2010,112,2.46,2.39,2.45,2.47,2.51
2010,119,2.96,2.77,2.89,2.91,2.79
2010,126,3.49,3.19,3.33,3.4,3.26
2010,134,3.38,3.69,3.49,3.24,3.33
2010,141,3.74,3.22,3.93,3.45,3.78
2010,147,3.81,3.24,3.56,3.68,3.54
2010,166,3.58,3.01,3.56,3.5,3.69
2010,182,3.78,3.53,3.59,3.84,3.5
2010,196,3.64,3.2,3.52,3.78,3.81
2010,210,3.72,3.24,3.53,3.79,3.23
2010,224,NaN,3.21,3.23,3.56,3.37
2010,238,3.5,3.2,3.36,3.47,3.32
2010,252,3.23,NaN,3.22,3.34,3.19
2010,258,3.26,2.81,3.01,3.27,3.21
2010,267,3.16,2.77,2.87,2.89,2.91
2010,273,3.13,2.65,2.84,2.83,2.89
2010,280,3.15,2.65,2.66,2.65,2.75
2010,288,2.73,2.06,2.21,1.99,2.17
2010,293,2.34,1.86,1.99,1.73,1.8
2010,302,1.24,1.25,1.15,1.03,1.1
2010,307,0.99,1.06,0.86,0.79,0.95
2010,315,0.75,0.96,0.65,0.69,0.43
2011,6,0.56,0.92,0.7,0.63,0.7
2011,110,0.81,1,0.8,0.84,0.97
2011,117,0.94,1.35,1.15,1.25,1.59
2011,124,2,2.08,1.86,1.92,1.89
2011,131,3.22,3.15,3.36,3.44,3.44
2011,138,3.57,3.29,3.56,3.56,3.4
2011,147,3.53,3.46,3.59,3.83,3.31
2011,152,3.83,3.55,3.72,3.8,3.68
2011,159,3.92,3.59,3.9,4.04,4
2011,166,3.78,3.44,3.69,3.86,3.74
2011,180,3.89,3.47,3.58,3.78,3.8
2011,196,3.65,3.51,3.55,3.53,3.68
2011,221,3.62,3.52,3.52,3.63,3.45
2011,236,3.55,3.27,3.45,3.52,3.38
2011,250,3.4,3.25,3.65,3.39,3.38
2011,264,3.3,3.07,3.27,3.32,3.24
2011,271,3.22,3.01,2.87,3.01,3.04
2011,278,3.11,2.79,2.93,2.65,2.92
2011,286,2.36,2.13,2.39,1.93,2.22
2011,294,1.76,1.72,1.74,1.29,1.72
2011,301,1.32,1.33,1.34,1.23,1.44
2011,308,0.91,1,1.05,0.71,0.98
2012,87,0.81,1.07,0.88,0.78,0.83
2012,94,1.04,1.32,1.05,1.13,1.24
2012,100,1.5,1.79,1.53,1.65,1.74
2012,108,2.09,2.17,2.2,2.14,2.26
2012,114,2.84,2.88,2.85,2.8,2.81
2012,123,3.49,3.2,3.52,3.34,3.36
2012,129,3.73,3.39,3.63,3.61,3.45
2012,135,3.96,3.35,3.72,3.93,4.16
2012,144,4.02,3.3,3.79,3.76,3.68
2012,184,3.59,3.31,3.58,3.53,3.42
2012,220,3.39,3.04,3.3,3.09,3.15
2012,228,3.4,2.97,3.31,3.09,3.2
2012,243,3.21,2.84,3.17,2.88,3
2012,250,3.39,2.91,3.27,3.04,3.08
2012,271,3.31,2.82,2.83,2.87,2.77
2012,277,2.92,2.44,2.68,2.4,2.66
2012,284,2.87,2.63,2.78,2.47,2.72
2012,291,2.6,2.07,2.25,1.99,2.29
2012,298,1.02,1.02,1.15,1,1.24
2012,303,1.03,0.97,0.94,0.84,1.04
2012,314,0.93,0.97,0.93,0.69,0.87
2013,99,0.58,0.84,0.59,0.7,0.72
2013,110,0.83,0.96,NaN,1.61,1.61
2013,127,1.44,1.62,1.48,1.61,1.81
2013,134,2.57,2.39,2.5,2.51,2.7
2013,142,3.48,3.04,3.2,3.19,3.24
2013,147,3.37,3.11,3.2,3.28,3.35
2013,155,3.47,3.17,3.28,3.44,3.45
2013,162,3.58,3.08,3.18,3.46,3.39
2013,176,3.44,3.17,3.42,3.39,3.42
